Rank,University,Town,additional_info,overview,university_identity,university_location
881,Abhilashi University,Chailchowk,"{'name': 'Abhilashi University', 'logo': 'https://www.4icu.org/i/logos-seals/17817.png', 'country_rank': '881', 'world_rank': '12879', 'details_link': 'http://www.abhilashiuniversity.com'}","Founded in 2015,  the Abhilashi University is a  private higher education institution located in the small city of Chailchowk (population range of 50,000-249,999 inhabitants), Himachal Pradesh.   Officially recognized by the University Grants Commission of India, Abhilashi University (AU) is a coeducational Indian higher education institution. Abhilashi University (AU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor's degrees (i.e. certificates, diplomas, associate or foundation), bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 9-year-old Indian higher-education institution has a selective admission policy based on entrance examinations and students' past academic records and grades.  AU also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","{'name': 'Abhilashi University', 'non_latin_name': 'अभिलाषी विश्वविद्यालय', 'acronym': 'AU', 'founded': '2015', 'website': 'http://www.abhilashiuniversity.com', 'screenshot': '/i/screenshots/17817.jpg'}","{'street_address': 'Chachyot', 'locality': 'Chailchowk ', 'postal_code': '175 028', 'region': 'Himachal Pradesh', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/17817-abhilashi-university/'}"
220,All India Institute of Medical Sciences Rishikesh,Rishikesh,"{'name': 'All India Institute of Medical Sciences Rishikesh', 'logo': 'https://www.4icu.org/i/logos-seals/15960.png', 'country_rank': '220', 'world_rank': '6581', 'details_link': 'https://aiimsrishikesh.edu.in'}","Established in 2012,  the All India Institute of Medical Sciences Rishikesh is a non-profit public higher education institution located in the rural setting of the small city of Rishikesh (population range of 50,000-249,999 inhabitants), Uttarakhand.   Officially recognized by the Department of Higher Education of the Ministry of Human Resources Development of India, All India Institute of Medical Sciences Rishikesh  is a coeducational Indian higher education institution. All India Institute of Medical Sciences Rishikesh offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 12-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  All India Institute of Medical Sciences Rishikesh also provides several academic and non-academic facilities and services to students including  as well as administrative services.","{'name': 'All India Institute of Medical Sciences Rishikesh', 'non_latin_name': 'अखिल भारतीय आयुर्विज्ञान संस्थान, ऋषिकेश', 'acronym': None, 'founded': '2012', 'website': 'https://aiimsrishikesh.edu.in', 'screenshot': '/i/screenshots/15960.jpg'}","{'street_address': 'Virbhadra Marg, Rishikesh, Pashulok', 'locality': 'Rishikesh ', 'postal_code': '249 203', 'region': 'Uttarakhand', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/15960-all-india-institute-of-medical-sciences-rishikesh/'}"
207,All India Institute of Medical Sciences Raipur,Raipur,"{'name': 'All India Institute of Medical Sciences Raipur', 'logo': 'https://www.4icu.org/i/logos-seals/15959.png', 'country_rank': '207', 'world_rank': '6441', 'details_link': 'https://www.aiimsraipur.edu.in'}","Founded in 2012,  the All India Institute of Medical Sciences Raipur is a non-profit public higher education institution located in the urban setting of the metropolis of Raipur (population range of 1,000,000-5,000,000 inhabitants), Chhattisgarh.   Officially recognized by the Department of Higher Education of the Ministry of Human Resources Development of India, All India Institute of Medical Sciences Raipur (AIIMS Raipur) is a coeducational Indian higher education institution. All India Institute of Medical Sciences Raipur (AIIMS Raipur) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 12-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  AIIMS Raipur also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  as well as administrative services.","{'name': 'All India Institute of Medical Sciences Raipur', 'non_latin_name': 'आल इंडिया इंस्टिट्यूट ऑफ मेडिकल साइंसेज रायपुर', 'acronym': 'AIIMS Raipur', 'founded': '2012', 'website': 'https://www.aiimsraipur.edu.in', 'screenshot': '/i/screenshots/15959.jpg'}","{'street_address': 'Tatibandh, G. E. Road', 'locality': 'Raipur ', 'postal_code': '492 099', 'region': 'Chhattisgarh', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/15959-all-india-institute-of-medical-sciences-raipur/'}"
180,Alliance University,Bangalore,"{'name': 'Alliance University', 'logo': 'https://www.4icu.org/i/logos-seals/14354.png', 'country_rank': '180', 'world_rank': '5973', 'details_link': 'https://www.alliance.edu.in'}","Established in 2010,  the Alliance University is a  private higher education institution located in the rural setting of the large metropolis of Bangalore (population range of over 5,000,000 inhabitants), Karnataka.   Officially recognized by the University Grants Commission of India, Alliance University  is a coeducational Indian higher education institution. Alliance University offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 13-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  Alliance University also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","{'name': 'Alliance University', 'non_latin_name': 'ಅಲೈಯನ್ಸ್ ವಿಶ್ವವಿದ್ಯಾಲಯ', 'acronym': None, 'founded': '2010', 'website': 'https://www.alliance.edu.in', 'screenshot': '/i/screenshots/14354.jpg'}","{'street_address': 'Chikkahagade Cross, Chandapura - Anekal Main Road, Anekal', 'locality': 'Bangalore ', 'postal_code': '562 106', 'region': 'Karnataka', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/14354-alliance-university/'}"
364,Anand Agricultural University,Anand,"{'name': 'Anand Agricultural University', 'logo': 'https://www.4icu.org/i/logos-seals/12109.png', 'country_rank': '364', 'world_rank': '8183', 'details_link': 'https://www.aau.in'}","Founded in 2004,  the Anand Agricultural University is a non-profit public higher education institution located in the suburban setting of the medium city of Anand (population range of 250,000-499,999 inhabitants), Gujarat.   Officially recognized by the University Grants Commission of India, Anand Agricultural University (AAU) is a very small-sized (uniRank enrollment range: 1,000-1,999 students) coeducational Indian higher education institution. Anand Agricultural University (AAU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor's degrees (i.e. certificates, diplomas, associate or foundation), bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 20-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  The acceptance rate range is 50-59% making this Indian higher education organization an averagely selective institution. International students are welcome to apply for enrollment.  AAU also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","{'name': 'Anand Agricultural University', 'non_latin_name': 'કૃષિ યુનિવર્સિટી, આણંદ', 'acronym': 'AAU', 'founded': '2004', 'website': 'https://www.aau.in', 'screenshot': '/i/screenshots/12109.jpg'}","{'street_address': 'Hadgood Road', 'locality': 'Anand ', 'postal_code': '388 001', 'region': 'Gujarat', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/12109-anand-agricultural-university/'}"
91,Andhra University,Visakhapatnam,"{'name': 'Andhra University', 'logo': 'https://www.4icu.org/i/logos-seals/7255.png', 'country_rank': '91', 'world_rank': '4249', 'details_link': 'https://www.andhrauniversity.edu.in'}","Founded in 1926,  the Andhra University is a non-profit public higher education institution located in the urban setting of the metropolis of Visakhapatnam (population range of 1,000,000-5,000,000 inhabitants), Andhra Pradesh.   Officially recognized by the University Grants Commission of India, Andhra University (AU) is a medium-sized (uniRank enrollment range: 9,000-9,999 students) coeducational Indian higher education institution. Andhra University (AU) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 98-year-old Indian higher-education institution has a selective admission policy based on entrance examinations. International students are welcome to apply for enrollment.  AU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  online courses and distance learning opportunities,  as well as administrative services.","{'name': 'Andhra University', 'non_latin_name': 'ఆంధ్ర విశ్వవిద్యాలయం', 'acronym': 'AU', 'founded': '1926', 'website': 'https://www.andhrauniversity.edu.in', 'screenshot': '/i/screenshots/7255.jpg'}","{'street_address': 'Waltair', 'locality': 'Visakhapatnam ', 'postal_code': '530 003', 'region': 'Andhra Pradesh', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/7255-andhra-university/'}"
16,Amity University,Noida ...,"{'name': 'Amity University', 'logo': 'https://www.4icu.org/i/logos-seals/12299.png', 'country_rank': '16', 'world_rank': '1638', 'details_link': 'https://www.amity.edu'}","Founded in 2005,  the Amity University is a non-profit private higher education institution located in the small city of Noida (population range of 50,000-249,999 inhabitants), Uttar Pradesh.  This institution also has a branch campus in Gwalior and Jaipur. Officially recognized by the University Grants Commission of India, Amity University (AUH) is a very large-sized (uniRank enrollment range: 30,000-34,999 students) coeducational Indian higher education institution. Amity University (AUH) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 19-year-old Indian higher-education institution has a selective admission policy based on entrance examinations and students' past academic records and grades. International students are welcome to apply for enrollment.  AUH also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","{'name': 'Amity University', 'non_latin_name': 'एमिटी विश्वविद्यालय', 'acronym': 'AUH', 'founded': '2005', 'website': 'https://www.amity.edu', 'screenshot': '/i/screenshots/12299.jpg'}","{'street_address': 'Amity University Campus, Sector 125', 'locality': 'Noida ', 'postal_code': '201 303', 'region': 'Uttar Pradesh', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/12299-amity-university/'}"
14,Amrita Vishwa Vidyapeetham,Coimbatore ...,"{'name': 'Amrita Vishwa Vidyapeetham', 'logo': 'https://www.4icu.org/i/logos-seals/1984.png', 'country_rank': '14', 'world_rank': '1453', 'details_link': 'https://www.amrita.edu'}","Established in 2003,  the Amrita Vishwa Vidyapeetham (Amrita University) is a non-profit private higher education institution located in the suburban setting of the large city of Coimbatore (population range of 500,000-1,000,000 inhabitants), Tamil Nadu.  This institution also has branch campuses in Amritapuri, Bangalore, Kochi and Mysore. Officially recognized by the University Grants Commission of India, Amrita Vishwa Vidyapeetham (AMRITA) is a large-sized (uniRank enrollment range: 15,000-19,999 students) coeducational Indian higher education institution. Amrita Vishwa Vidyapeetham (AMRITA) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 21-year-old Indian higher-education institution has a selective admission policy based on entrance examinations. International applicants are eligible to apply for enrollment.  AMRITA also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","{'name': 'Amrita Vishwa Vidyapeetham', 'non_latin_name': 'அமிர்தா விஸ்வ வித்யாபீடம்', 'acronym': 'AMRITA', 'founded': '2003', 'website': 'https://www.amrita.edu', 'screenshot': '/i/screenshots/1984.jpg'}","{'street_address': 'Amritanagar PO, Ettimadai', 'locality': 'Coimbatore ', 'postal_code': '641 112', 'region': 'Tamil Nadu', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/1984-amrita-vishwa-vidyapeetham/'}"
265,All India Institute of Medical Sciences Patna,Patna,"{'name': 'All India Institute of Medical Sciences Patna', 'logo': 'https://www.4icu.org/i/logos-seals/15958.png', 'country_rank': '265', 'world_rank': '7250', 'details_link': 'https://aiimspatna.edu.in'}","Established in 2012,  the All India Institute of Medical Sciences Patna is a non-profit public higher education institution located in the rural setting of the large metropolis of Patna (population range of over 5,000,000 inhabitants), Bihar.   Officially recognized by the Department of Higher Education of the Ministry of Human Resources Development of India, All India Institute of Medical Sciences Patna (AIIMSP) is a coeducational Indian higher education institution. All India Institute of Medical Sciences Patna (AIIMSP) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 12-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  AIIMSP also provides several academic and non-academic facilities and services to students including  as well as administrative services.","{'name': 'All India Institute of Medical Sciences Patna', 'non_latin_name': 'अखिल भारतीय आयुर्विज्ञान संस्थान पटना', 'acronym': 'AIIMSP', 'founded': '2012', 'website': 'https://aiimspatna.edu.in', 'screenshot': '/i/screenshots/15958.jpg'}","{'street_address': 'Aurangabad Road, Phulwari Sharif', 'locality': 'Patna ', 'postal_code': '801 507', 'region': 'Bihar', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/15958-all-india-institute-of-medical-sciences-patna/'}"
24,Anna University,Chennai,"{'name': 'Anna University', 'logo': 'https://www.4icu.org/i/logos-seals/1985.png', 'country_rank': '24', 'world_rank': '1906', 'details_link': 'https://www.annauniv.edu'}","Founded in 1978,  the Anna University is a non-profit public higher education institution located in the urban setting of the large metropolis of Chennai (population range of over 5,000,000 inhabitants), Tamil Nadu.   Officially recognized by the University Grants Commission of India, Anna University (AU Chennai) is a large-sized (uniRank enrollment range: 15,000-19,999 students) coeducational Indian higher education institution. Anna University (AU Chennai) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 45-year-old Indian higher-education institution has a selective admission policy based on students' past academic records and grades. International students are welcome to apply for enrollment.  AU Chennai also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","{'name': 'Anna University', 'non_latin_name': 'அண்ணா பல்கலைக்கழகம்', 'acronym': 'AU Chennai', 'founded': '1978', 'website': 'https://www.annauniv.edu', 'screenshot': '/i/screenshots/1985.jpg'}","{'street_address': 'Sardar Patel Road', 'locality': 'Chennai ', 'postal_code': '600 025', 'region': 'Tamil Nadu', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/1985-anna-university/'}"
